ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
LCID,2025-07-18 16:30:00+00:00,2025-07-21 13:30:00+00:00,30.4152,29.488,-3.548,-129.5,stop,0.2275,0,17772.17,2025-07-18 16:30:00+00:00,2025-07
CRML,2025-07-18 17:30:00+00:00,2025-07-21 13:30:00+00:00,4.4823,4.3457,-3.548,-128.24,stop,0.2275,0,17913.02,2025-07-18 17:30:00+00:00,2025-07
ATAI,2025-07-18 17:30:00+00:00,2025-07-21 13:30:00+00:00,3.2516,3.51,7.446,269.09,target,0.2275,1,18041.26,2025-07-18 17:30:00+00:00,2025-07
AAOI,2025-07-21 14:30:00+00:00,2025-07-22 13:30:00+00:00,28.7944,27.9166,-3.549,-127.13,stop,0.1427,0,16907.66,2025-07-21 14:30:00+00:00,2025-07
LCID,2025-07-21 14:30:00+00:00,2025-07-21 15:30:00+00:00,28.5743,27.7032,-3.549,-127.13,stop,0.1403,0,17404.51,2025-07-21 14:30:00+00:00,2025-07
POET,2025-07-21 14:30:00+00:00,2025-07-21 14:30:00+00:00,6.8834,6.6736,-3.548,-127.13,stop,0.136,0,17785.89,2025-07-21 14:30:00+00:00,2025-07
APLD,2025-07-21 14:30:00+00:00,2025-07-21 14:30:00+00:00,11.946,11.5818,-3.548,-127.13,stop,0.1337,0,17658.76,2025-07-21 14:30:00+00:00,2025-07
AMPX,2025-07-21 14:30:00+00:00,2025-07-21 15:30:00+00:00,8.7394,8.4729,-3.549,-127.13,stop,0.1499,0,17531.64,2025-07-21 14:30:00+00:00,2025-07
LWLG,2025-07-21 15:30:00+00:00,2025-07-21 15:30:00+00:00,2.086,2.0224,-3.548,-125.32,stop,0.1936,0,17279.18,2025-07-21 15:30:00+00:00,2025-07
ATAI,2025-07-21 15:30:00+00:00,2025-07-22 14:30:00+00:00,3.4109,3.4283,0.01,0.34,timeout,0.204,1,17039.05,2025-07-21 15:30:00+00:00,2025-07
AMPX,2025-07-21 16:30:00+00:00,2025-07-22 13:30:00+00:00,8.5243,8.2644,-3.548,-122.63,stop,0.2275,0,16785.03,2025-07-21 16:30:00+00:00,2025-07
LCID,2025-07-21 16:30:00+00:00,2025-07-22 14:30:00+00:00,27.6878,29.8879,7.446,257.32,target,0.2275,1,17296.37,2025-07-21 16:30:00+00:00,2025-07
AEVA,2025-07-21 16:30:00+00:00,2025-07-21 17:30:00+00:00,28.022,27.1678,-3.548,-122.63,stop,0.204,0,17156.55,2025-07-21 16:30:00+00:00,2025-07
LWLG,2025-07-21 18:30:00+00:00,2025-07-21 18:30:00+00:00,2.089,2.0254,-3.548,-121.76,stop,0.2597,0,17034.79,2025-07-21 18:30:00+00:00,2025-07
