etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-10-15 19:30:00+00:00,2025-10-16 19:30:00+00:00,74.8874,75.8186,0.743,19.11,timeout,0.0082,1,8585.72,2025-10-15 19:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-17 17:30:00+00:00,2025-10-20 13:30:00+00:00,75.6758,73.3688,-3.549,-91.4,stop,0.0081,0,8494.32,2025-10-17 17:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-20 16:30:00+00:00,2025-10-21 16:30:00+00:00,71.6358,71.8006,-0.27,-6.88,timeout,0.0082,0,8487.44,2025-10-20 16:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-21 18:30:00+00:00,2025-10-22 18:30:00+00:00,71.6353,74.1134,2.959,75.35,timeout,0.0075,1,8562.79,2025-10-21 18:30:00+00:00,2025-10
TQQQ,LONG,2025-10-23 14:30:00+00:00,2025-10-24 14:30:00+00:00,52.9815,55.3873,4.041,103.8,timeout,0.0368,1,8666.59,2025-10-23 14:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-24 17:30:00+00:00,2025-10-27 13:30:00+00:00,69.5843,67.463,-3.548,-92.26,stop,0.0075,0,8574.33,2025-10-24 17:30:00+00:00,2025-10
TQQQ,LONG,2025-10-27 14:30:00+00:00,2025-10-28 14:30:00+00:00,57.6338,58.7556,1.446,37.21,timeout,0.0275,1,8611.54,2025-10-27 14:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-28 18:30:00+00:00,2025-10-29 18:30:00+00:00,64.5318,64.3853,-0.727,-18.78,timeout,0.0075,0,8592.76,2025-10-28 18:30:00+00:00,2025-10
TQQQ,LONG,2025-10-29 19:30:00+00:00,2025-10-30 18:30:00+00:00,59.7899,57.9672,-3.548,-91.47,stop,0.0313,0,8501.29,2025-10-29 19:30:00+00:00,2025-10
TQQQ,LONG,2025-10-31 14:30:00+00:00,2025-11-03 15:30:00+00:00,59.1596,58.7506,-1.191,-30.38,timeout,0.037,0,8470.9,2025-10-31 14:30:00+00:00,2025-10
TQQQ,LONG,2025-11-03 16:30:00+00:00,2025-11-04 14:30:00+00:00,58.7994,57.0069,-3.548,-90.18,stop,0.0216,0,8380.72,2025-11-03 16:30:00+00:00,2025-11
TQQQ,LONG,2025-11-04 15:30:00+00:00,2025-11-04 17:30:00+00:00,57.5287,55.775,-3.548,-89.22,stop,0.0413,0,8291.51,2025-11-04 15:30:00+00:00,2025-11
TQQQ,LONG,2025-11-05 14:30:00+00:00,2025-11-06 14:30:00+00:00,55.3677,55.05,-1.074,-26.71,timeout,0.0221,0,8264.8,2025-11-05 14:30:00+00:00,2025-11
SQQQ,SHORT,2025-11-11 18:30:00+00:00,2025-11-12 18:30:00+00:00,68.044,68.4907,0.157,3.88,timeout,0.0082,1,8268.68,2025-11-11 18:30:00+00:00,2025-11
SQQQ,SHORT,2025-11-12 19:30:00+00:00,2025-11-13 19:30:00+00:00,68.5593,72.5227,5.281,131.0,timeout,0.008,1,8399.68,2025-11-12 19:30:00+00:00,2025-11
SQQQ,SHORT,2025-11-14 18:30:00+00:00,2025-11-17 18:30:00+00:00,71.8109,74.2633,2.915,73.46,timeout,0.0085,1,8473.14,2025-11-14 18:30:00+00:00,2025-11
SQQQ,SHORT,2025-11-25 19:30:00+00:00,2025-11-26 14:30:00+00:00,72.7213,70.5044,-3.549,-90.2,stop,0.0086,0,8382.94,2025-11-25 19:30:00+00:00,2025-11
TQQQ,LONG,2025-11-26 15:30:00+00:00,2025-11-28 15:30:00+00:00,52.7364,53.953,1.807,45.45,timeout,0.0292,1,8428.38,2025-11-26 15:30:00+00:00,2025-11
TQQQ,LONG,2025-12-01 15:30:00+00:00,2025-12-02 15:30:00+00:00,53.5768,54.4028,1.042,26.34,timeout,0.0368,1,8454.72,2025-12-01 15:30:00+00:00,2025-12
TQQQ,LONG,2025-12-05 15:30:00+00:00,2025-12-08 15:30:00+00:00,56.8984,55.742,-2.532,-64.23,timeout,0.0292,0,8390.49,2025-12-05 15:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-08 18:30:00+00:00,2025-12-09 18:30:00+00:00,67.2936,66.5917,-1.543,-38.84,timeout,0.0082,0,8351.65,2025-12-08 18:30:00+00:00,2025-12
TQQQ,LONG,2025-12-10 15:30:00+00:00,2025-12-11 15:30:00+00:00,55.6178,54.4629,-2.577,-64.56,timeout,0.0333,0,8287.09,2025-12-10 15:30:00+00:00,2025-12
TQQQ,LONG,2025-12-12 15:30:00+00:00,2025-12-15 14:30:00+00:00,53.5768,51.9435,-3.548,-88.22,stop,0.0306,0,8198.87,2025-12-12 15:30:00+00:00,2025-12
TQQQ,LONG,2025-12-15 15:30:00+00:00,2025-12-16 15:30:00+00:00,51.961,51.4243,-1.533,-37.7,timeout,0.037,0,8161.17,2025-12-15 15:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-16 18:30:00+00:00,2025-12-17 18:30:00+00:00,72.6563,74.6477,2.241,54.86,timeout,0.0082,1,8216.03,2025-12-16 18:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-18 19:30:00+00:00,2025-12-19 14:30:00+00:00,71.7058,69.5199,-3.548,-87.46,stop,0.0082,0,8128.57,2025-12-18 19:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-19 19:30:00+00:00,2025-12-22 19:30:00+00:00,69.1946,68.1958,-1.943,-47.39,timeout,0.008,0,8081.17,2025-12-19 19:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-22 20:30:00+00:00,2025-12-23 20:30:00+00:00,68.2641,67.2164,-2.035,-49.33,timeout,0.0058,0,8031.84,2025-12-22 20:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-24 16:30:00+00:00,2025-12-26 20:30:00+00:00,65.4527,65.3073,-0.722,-17.4,timeout,0.007,0,8014.44,2025-12-24 16:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-29 14:30:00+00:00,2025-12-30 14:30:00+00:00,66.5783,66.5967,-0.472,-11.36,timeout,0.0066,0,8003.09,2025-12-29 14:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-30 16:30:00+00:00,2025-12-31 16:30:00+00:00,66.093,67.4413,1.54,36.97,timeout,0.0055,1,8040.06,2025-12-30 16:30:00+00:00,2025-12
SQQQ,SHORT,2025-12-31 17:30:00+00:00,2026-01-02 17:30:00+00:00,67.5137,69.4085,2.306,55.63,timeout,0.0032,1,8095.69,2025-12-31 17:30:00+00:00,2025-12
SQQQ,SHORT,2026-01-02 18:30:00+00:00,2026-01-05 14:30:00+00:00,69.4747,67.3568,-3.549,-86.18,stop,0.0073,0,8009.51,2026-01-02 18:30:00+00:00,2026-01
TQQQ,LONG,2026-01-06 15:30:00+00:00,2026-01-07 15:30:00+00:00,54.7674,55.5223,0.878,21.11,timeout,0.0368,1,8030.62,2026-01-06 15:30:00+00:00,2026-01
TQQQ,LONG,2026-01-08 15:30:00+00:00,2026-01-09 15:30:00+00:00,54.3372,55.3023,1.276,30.75,timeout,0.0523,1,8061.36,2026-01-08 15:30:00+00:00,2026-01
SQQQ,SHORT,2026-01-09 19:30:00+00:00,2026-01-12 19:30:00+00:00,64.5222,64.1979,-1.003,-24.25,timeout,0.0084,0,8037.11,2026-01-09 19:30:00+00:00,2026-01
TQQQ,LONG,2026-01-13 15:30:00+00:00,2026-01-14 14:30:00+00:00,55.2376,53.5537,-3.548,-85.56,stop,0.0345,0,7951.56,2026-01-13 15:30:00+00:00,2026-01
TQQQ,LONG,2026-01-14 15:30:00+00:00,2026-01-15 15:30:00+00:00,53.7569,55.5122,2.765,65.97,timeout,0.0368,1,8017.52,2026-01-14 15:30:00+00:00,2026-01
SQQQ,SHORT,2026-01-15 19:30:00+00:00,2026-01-16 19:30:00+00:00,65.6728,66.3468,0.526,12.66,timeout,0.0082,1,8030.18,2026-01-15 19:30:00+00:00,2026-01
TQQQ,LONG,2026-01-20 15:30:00+00:00,2026-01-20 19:30:00+00:00,52.1711,50.5806,-3.549,-85.49,stop,0.0368,0,7944.7,2026-01-20 15:30:00+00:00,2026-01
TQQQ,LONG,2026-01-26 15:30:00+00:00,2026-01-27 15:30:00+00:00,55.1175,56.6167,2.22,52.91,timeout,0.0348,1,7997.6,2026-01-26 15:30:00+00:00,2026-01
SQQQ,SHORT,2026-01-27 18:30:00+00:00,2026-01-28 18:30:00+00:00,63.3667,62.9685,-1.128,-27.07,timeout,0.0084,0,7970.53,2026-01-27 18:30:00+00:00,2026-01
TQQQ,LONG,2026-01-28 20:30:00+00:00,2026-01-29 14:30:00+00:00,57.2336,55.4888,-3.548,-84.85,stop,0.0275,0,7885.68,2026-01-28 20:30:00+00:00,2026-01
TQQQ,LONG,2026-01-29 15:30:00+00:00,2026-01-30 15:30:00+00:00,54.3872,54.6741,0.028,0.65,timeout,0.043,1,7886.34,2026-01-29 15:30:00+00:00,2026-01
TQQQ,LONG,2026-02-03 14:30:00+00:00,2026-02-03 14:30:00+00:00,55.6678,53.9708,-3.549,-83.95,stop,0.0271,0,7802.38,2026-02-03 14:30:00+00:00,2026-02
TQQQ,LONG,2026-02-03 15:30:00+00:00,2026-02-03 18:30:00+00:00,53.1966,51.5749,-3.548,-83.06,stop,0.0563,0,7719.32,2026-02-03 15:30:00+00:00,2026-02
TQQQ,LONG,2026-02-03 19:30:00+00:00,2026-02-04 15:30:00+00:00,51.5958,50.0229,-3.548,-82.18,stop,0.0227,0,7637.15,2026-02-03 19:30:00+00:00,2026-02
TQQQ,LONG,2026-02-10 15:30:00+00:00,2026-02-11 14:30:00+00:00,52.1461,50.5564,-3.549,-81.3,stop,0.0386,0,7555.84,2026-02-10 15:30:00+00:00,2026-02
TQQQ,LONG,2026-02-11 15:30:00+00:00,2026-02-12 15:30:00+00:00,50.1851,48.6552,-3.548,-80.44,stop,0.0555,0,7475.41,2026-02-11 15:30:00+00:00,2026-02
TQQQ,LONG,2026-02-12 16:30:00+00:00,2026-02-13 16:30:00+00:00,48.6043,49.3053,0.942,21.13,timeout,0.0492,1,7496.54,2026-02-12 16:30:00+00:00,2026-02
TQQQ,LONG,2026-02-25 15:30:00+00:00,2026-02-26 14:30:00+00:00,51.6121,50.0387,-3.548,-79.8,stop,0.053,0,7416.74,2026-02-25 15:30:00+00:00,2026-02
TQQQ,LONG,2026-02-26 15:30:00+00:00,2026-02-27 15:30:00+00:00,49.1646,49.3343,-0.155,-3.44,timeout,0.0519,0,7413.29,2026-02-26 15:30:00+00:00,2026-02
TQQQ,LONG,2026-02-27 16:30:00+00:00,2026-03-02 14:30:00+00:00,49.3947,47.8889,-3.548,-78.92,stop,0.0231,0,7334.38,2026-02-27 16:30:00+00:00,2026-02
TQQQ,LONG,2026-04-06 14:30:00+00:00,2026-04-07 13:30:00+00:00,44.1571,42.8109,-3.548,-78.08,stop,0.0386,0,7256.3,2026-04-06 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-07 14:30:00+00:00,2026-04-08 13:30:00+00:00,42.7614,46.1592,7.446,162.09,target,0.0386,1,7418.39,2026-04-07 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-08 14:30:00+00:00,2026-04-09 14:30:00+00:00,47.8639,47.8611,-0.506,-11.26,timeout,0.0513,0,7407.13,2026-04-08 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-10 14:30:00+00:00,2026-04-13 14:30:00+00:00,49.5348,49.3242,-0.925,-20.56,timeout,0.0368,0,7386.57,2026-04-10 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-14 14:30:00+00:00,2026-04-15 14:30:00+00:00,52.2831,54.5726,3.879,85.96,timeout,0.0343,1,7472.53,2026-04-14 14:30:00+00:00,2026-04
SQQQ,SHORT,2026-04-15 18:30:00+00:00,2026-04-16 14:30:00+00:00,60.3251,58.4861,-3.548,-79.55,stop,0.0081,0,7392.98,2026-04-15 18:30:00+00:00,2026-04
SQQQ,SHORT,2026-04-16 18:30:00+00:00,2026-04-17 13:30:00+00:00,59.4197,57.6083,-3.548,-78.7,stop,0.008,0,7314.28,2026-04-16 18:30:00+00:00,2026-04
TQQQ,LONG,2026-04-17 14:30:00+00:00,2026-04-20 14:30:00+00:00,58.089,57.7284,-1.121,-24.59,timeout,0.0399,0,7289.69,2026-04-17 14:30:00+00:00,2026-04
SQQQ,SHORT,2026-04-20 17:30:00+00:00,2026-04-21 17:30:00+00:00,57.2486,57.3214,-0.373,-8.15,timeout,0.008,0,7281.53,2026-04-20 17:30:00+00:00,2026-04
TQQQ,LONG,2026-04-22 14:30:00+00:00,2026-04-23 14:30:00+00:00,59.6513,60.5347,0.981,21.43,timeout,0.0366,1,7302.96,2026-04-22 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-23 18:30:00+00:00,2026-04-24 18:30:00+00:00,59.3296,62.4638,4.783,104.78,timeout,0.0244,1,7407.74,2026-04-23 18:30:00+00:00,2026-04
TQQQ,LONG,2026-04-28 14:30:00+00:00,2026-04-29 14:30:00+00:00,60.7904,61.4443,0.576,12.79,timeout,0.0482,1,7420.53,2026-04-28 14:30:00+00:00,2026-04
TQQQ,LONG,2026-04-30 14:30:00+00:00,2026-05-01 14:30:00+00:00,61.2784,65.4423,6.295,140.14,timeout,0.0519,1,7560.67,2026-04-30 14:30:00+00:00,2026-04
TQQQ,LONG,2026-05-04 14:30:00+00:00,2026-05-05 14:30:00+00:00,65.5927,67.3364,2.158,48.96,timeout,0.043,1,7609.63,2026-05-04 14:30:00+00:00,2026-05
TQQQ,LONG,2026-05-06 14:30:00+00:00,2026-05-07 14:30:00+00:00,69.4847,72.5837,3.96,90.4,timeout,0.0519,1,7700.03,2026-05-06 14:30:00+00:00,2026-05
