ticker,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
IMCC,2025-06-24 13:30:00+00:00,2025-06-24 15:30:00+00:00,2.94,2.85,-3.061,stop,0.6078,0
ELSE,2025-06-25 18:30:00+00:00,2025-06-26 16:30:00+00:00,4.1831,4.412,5.472,timeout,0.6286,1
SPHL,2025-06-26 15:30:00+00:00,2025-06-27 13:30:00+00:00,4.0,4.3704,9.26,target,0.6307,1
EUDA,2025-06-26 18:30:00+00:00,2025-06-27 13:30:00+00:00,72.4,69.8,-3.591,stop,0.6064,0
LAB,2025-06-27 14:30:00+00:00,2025-06-27 17:30:00+00:00,1.185,1.205,1.688,timeout,0.6009,1
PODC,2025-06-27 15:30:00+00:00,2025-06-27 18:30:00+00:00,2.37,2.31,-2.532,timeout,0.6273,0
MWYN,2025-06-30 14:30:00+00:00,2025-06-30 17:30:00+00:00,1.7374,1.77,1.876,timeout,0.6201,1
EUDA,2025-07-01 15:30:00+00:00,2025-07-01 19:30:00+00:00,67.4,68.4,1.484,timeout,0.6261,1
ONMD,2025-07-03 14:30:00+00:00,2025-07-07 14:30:00+00:00,0.5513,0.5798,5.17,timeout,0.6367,1
HIHO,2025-07-03 15:30:00+00:00,2025-07-07 13:30:00+00:00,1.63,1.5501,-4.902,stop,0.6303,0
VALU,2025-07-10 13:30:00+00:00,2025-07-14 16:30:00+00:00,38.49,37.106,-3.596,stop,0.6148,0
SPHL,2025-07-11 14:30:00+00:00,2025-07-11 17:30:00+00:00,3.9984,4.0752,1.921,timeout,0.6001,1
SPHL,2025-07-14 15:30:00+00:00,2025-07-15 13:30:00+00:00,3.84,3.868,0.729,timeout,0.6038,1
VALU,2025-07-14 19:30:00+00:00,2025-07-17 14:30:00+00:00,38.7296,39.3024,1.479,timeout,0.6272,1
WFCF,2025-07-15 19:30:00+00:00,2025-07-16 18:30:00+00:00,10.95,11.0,0.457,timeout,0.6174,1
LEDS,2025-07-21 19:30:00+00:00,2025-07-22 15:30:00+00:00,1.9,1.96,3.158,timeout,0.6032,1
BOTJ,2025-07-24 13:30:00+00:00,2025-07-29 13:30:00+00:00,13.95,13.69,-1.864,timeout,0.607,0
CLWT,2025-07-28 15:30:00+00:00,2025-07-29 17:30:00+00:00,1.1812,1.23,4.131,timeout,0.6172,1
ONMD,2025-07-29 15:30:00+00:00,2025-07-29 18:30:00+00:00,0.4784,0.4712,-1.505,timeout,0.6021,0
PODC,2025-07-29 15:30:00+00:00,2025-07-29 18:30:00+00:00,1.73,1.76,1.734,timeout,0.6155,1
PODC,2025-07-30 13:30:00+00:00,2025-07-30 14:30:00+00:00,1.785,1.73,-3.081,stop,0.6208,0
ELSE,2025-07-30 18:30:00+00:00,2025-07-31 16:30:00+00:00,4.6524,4.61,-0.911,timeout,0.622,0
ZKIN,2025-07-31 14:30:00+00:00,2025-07-31 16:30:00+00:00,2.1798,2.111,-3.156,stop,0.609,0
ELSE,2025-07-31 18:30:00+00:00,2025-08-01 15:30:00+00:00,4.33,4.39,1.386,timeout,0.6103,1
FGBI,2025-08-01 15:30:00+00:00,2025-08-01 19:30:00+00:00,8.3923,8.1,-3.483,stop,0.6482,0
RAND,2025-08-05 13:30:00+00:00,2025-08-05 14:30:00+00:00,18.15,17.245,-4.986,stop,0.6039,0
